@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
-0.81595,-0.83593,-0.65986,-0.76599,-0.21997,0.41396,0.30872,1.8682,0.92432,-0.03347,1
-0.42888,-0.36424,-0.54745,-0.1483,1.3101,0.32458,-1.4241,0.084998,-0.52292,0.43119,1
-0.53117,-0.46969,-0.63009,-0.29049,-0.15598,0.070467,0.37037,0.055221,1.5342,-0.019395,1
-0.47554,-0.41886,-0.5682,-0.27277,-0.14522,0.095492,-0.74945,2.2897,0.28575,0.1113,1
0.49502,0.36933,0.77255,-0.17231,-0.36395,-0.43588,0.094069,1.1543,-0.38227,-0.24055,-1
-0.90698,-0.79229,-1.1017,0.15908,1.953,0.0056039,-0.23959,-0.15014,1.5248,-1.4032,-1
0.10841,-0.054522,0.5334,-0.5264,-1.3551,-0.90118,-0.015937,0.81003,0.93191,-1.0457,-1
-1.3324,-1.3863,-1.0188,-1.3837,-0.48216,-1.2388,-0.59098,-1.8383,-1.9948,-3.7195,-1
-0.59694,-0.70629,-0.2269,-0.8685,-0.96657,-0.76221,-0.4515,1.433,-0.39943,0.18386,1
-0.3141,-0.32836,-0.23636,-0.16502,0.022328,0.16757,0.079916,-1.2667,1.0249,-0.2925,1
-1.2486,-1.3105,-0.92523,-1.2178,-0.30298,-0.18248,-0.65706,0.67702,-1.3135,0.40591,1
-1.2416,-1.2953,-0.94009,-1.0954,-0.48442,-0.68022,0.23365,-0.45798,-1.1777,0.24965,-1
0.19067,0.28751,-0.090155,0.32774,-1.0879,-0.94912,-0.88217,0.62385,-0.39711,0.46842,1
-0.46812,-0.56364,-0.15305,-0.5254,-0.37185,-0.31212,-0.26306,0.41079,-1.6427,0.44535,1
-0.46318,-0.34954,-0.71003,2.2468,-0.43037,-0.1405,-1.2154,-1.7268,0.01774,-0.75167,-1
-0.21711,-0.16571,-0.32892,0.10619,0.58822,-0.25123,-0.90531,1.2268,0.020968,0.80263,-1
-0.45583,-0.47834,-0.33783,-0.5145,-0.05596,-0.87168,-0.39522,1.4939,-1.2184,0.18148,1
-0.49884,-0.35365,-0.82736,-0.020818,0.7004,0.75421,0.19621,2.038,-0.16133,-1.0012,1
0.61192,0.55862,0.67669,0.27169,0.043689,0.28395,0.24439,0.55122,-0.63837,0.55531,-1
0.43457,0.36692,0.56301,-0.14365,0.03549,0.20222,-1.5053,0.64111,0.44398,1.1297,1
-0.68061,-0.66853,-0.62577,-0.74586,-0.073288,-0.31645,1.1487,-0.032928,0.42558,-0.81738,-1
1.1142,1.3819,0.25556,3.2179,-0.28282,-0.72523,0.12674,1.6888,-0.89754,0.17322,-1
-0.78745,-0.74639,-0.80008,-0.39063,0.59927,0.59898,0.69428,-0.35104,0.78198,0.24074,1
-0.90765,-0.93565,-0.7171,-0.98268,0.10996,-0.36271,-1.078,0.11867,-0.85861,-0.046135,1
