@RELATION emotion_valence
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE valence {-1, 1}

@DATA
15162820.7181,26671619.4478,3608472.3243,18510099.2406,986.6037,370.5397,6.9264,-0.003926,0.096446,1.0015,1
14681447.9248,24019726.3271,5317128.242,14263661.9668,703.7028,271.9628,3.2348,-0.037952,0.013291,0.89173,-1
12820810.7896,22109991.2348,3511657.6162,13362440.9232,881.6864,319.9634,7.9288,0.0083978,0.065996,0.96759,1
16592671.23,25976862.0706,7185181.4299,14091323.7909,801.7376,336.3359,7.4897,-0.0091321,0.10598,1.0989,1
20915051.7521,32220217.6817,9579078.9707,15543509.5768,1052.9433,388.6162,7.6355,0.013534,0.1425,0.94086,1
35212451.9475,56566952.9785,13796115.6422,27437854.8993,1235.0174,548.4162,7.1859,0.010285,0.13455,1.0412,1
29432992.1867,44582759.8322,14264223.1435,19858629.7889,881.3564,360.4595,6.8496,-5.3617e-06,0.10011,1.1628,1
5067736.4213,9439516.8418,681909.4959,7069723.5977,2394.2482,366.2413,5.8897,-0.010654,0.07836,1.0903,1
11166453.6196,19407616.5096,2901084.5161,12643258.1749,1839.8091,399.9634,5.3793,-0.0041351,0.064405,0.99037,1
5724923.8297,9829733.1157,1606638.2754,9357784.9895,844.7433,281.5904,5.6391,-0.0088811,0.098799,0.90621,-1
44052463.4857,67519458.205,20555799.027,30913506.7315,904.3097,296.8971,6.5989,-0.0064833,0.086997,1.1888,1
11343120.6086,19339710.3821,3318958.7918,12846295.2726,1167.0388,365.3241,7.4639,-0.0013419,0.074118,0.84687,-1
20236791.846,36306526.8502,4088929.3937,21133405.0171,1459.0624,541.9639,6.5276,-0.019441,0.11118,0.90359,1
19931376.8023,36067026.0817,3742835.7781,22012254.2519,939.4688,328.0882,6.2212,-0.037777,0.092098,0.99312,-1
15841459.688,28096885.0517,3502481.2397,23895072.9844,1514.5831,577.1976,5.5025,-0.064189,0.081636,0.83545,1
21422376.4302,34673437.2065,8149840.9135,18225053.7406,765.9254,312.3467,7.9749,-0.0023234,0.10554,0.9643,1
2474456.867,4849020.5672,88253.6465,11245699.373,861.468,286.3917,3.8311,-0.013669,0.060428,0.50227,-1
19969504.9222,31427234.3058,8479564.8948,15881985.8483,817.3434,361.6683,4.4281,-0.020264,0.059585,0.86713,-1
15174321.1774,25147794.7618,5168645.8879,14364348.2921,1049.3681,387.7655,7.7023,-0.020182,0.091666,1.0276,-1
18372058.93,32395581.2547,4290000.6025,24340282.0174,1370.7004,384.1443,7.4013,0.028947,0.088498,1.0096,1
23867828.4106,39448336.5725,8235330.3417,23548805.1157,1131.2753,353.9066,7.2153,0.031275,0.11683,0.99586,1
6415552.0448,11674428.3273,1135619.3088,10914919.6979,964.6743,315.8999,7.7109,-0.01383,0.08898,0.86641,-1
22168462.4765,36217239.9361,8083587.3213,21746164.5158,1132.7096,282.9626,6.9674,-0.0086077,0.055553,0.97529,1
21272272.5891,30894518.5103,11636901.162,12678093.1149,713.4414,308.6716,7.3113,0.015985,0.090661,1.0558,1
22657035.8467,33539228.095,11747544.2579,14929273.9339,1138.4496,502.316,6,0.02809,0.12149,1.1053,1
11355628.6623,19678922.8591,3007816.4022,28898039.934,1238.2594,323.9412,5.9599,-0.0078251,0.10017,0.92666,-1
4444189.1603,7876831.411,1003274.239,5310944.8116,1264.2896,303.9572,6.6115,-0.0044168,0.078774,0.87627,-1
26692829.9632,44337712.5501,9012183.8176,25435760.8921,941.9124,320.9742,7.1479,-0.006236,0.058558,1.0346,1
13870417.7278,23512540.9913,4207314.9276,14344407.2058,779.2086,311.9077,7.01,-0.018313,0.048317,1.2088,1
25333969.4027,41421728.2479,9204173.2588,26859593.1711,1010.763,310.5972,7.0976,0.016076,0.052903,0.98998,1
4678469.5398,8489965.7402,855823.0935,7204097.0094,1016.3946,296.2337,6.1028,-0.0056046,0.083525,0.78449,1
18356208.959,31345374.1573,5331826.7825,20236016.31,1319.5434,339.4163,5.9081,-0.00031275,0.10603,0.96707,1
12568732.9171,21256575.8417,3859597.2367,13609606.6615,1101.9277,279.6876,6.4887,-0.0053776,0.093261,0.89976,1
7981610.9438,13271609.4172,2676722.099,7836996.0596,1282.3133,497.0447,7.4292,-0.041969,0.09419,0.85078,-1
9757455.6527,16622216.5404,2878471.6241,8930631.0734,978.5551,347.6255,8.1405,-0.041182,0.11519,0.91295,-1
11607834.5055,20111718.9693,3068549.9383,13880002.1184,1181.9653,409.9369,5.2079,-0.031972,0.11395,0.84383,-1
15657428.5223,24039151.5089,7260195.9756,11537259.4747,787.6519,320.9648,7.4395,-0.0024176,0.073207,1.0025,1
